[Info] - DateTime: 15.07.2017 12:35:58 - Sorted an array by BubbleSorter
[Info] - DateTime: 15.07.2017 12:35:58 - Sorted an array by SelectionSorter
[Info] - DateTime: 15.07.2017 12:35:58 - Sorted an array by QuickSorter
[Info] - DateTime: 15.07.2017 12:35:58 - Sorted an array by ShellSorter
[Info] - DateTime: 15.07.2017 12:36:51 - Sorted an array by SelectionSorter
[Info] - DateTime: 15.07.2017 12:36:51 - Sorted an array by BubbleSorter
[Info] - DateTime: 15.07.2017 12:36:58 - Sorted an array by QuickSorter
[Info] - DateTime: 15.07.2017 12:37:13 - Sorted an array by ShellSorter
[Info] - DateTime: 15.07.2017 12:38:40 - Sorted an array by ShellSorter
[Info] - DateTime: 15.07.2017 12:38:40 - Sorted an array by BubbleSorter
[Info] - DateTime: 15.07.2017 12:38:40 - Sorted an array by SelectionSorter
[Info] - DateTime: 15.07.2017 12:38:40 - Sorted an array by QuickSorter
[Info] - DateTime: 15.07.2017 12:38:49 - Sorted an array by SelectionSorter
[Info] - DateTime: 15.07.2017 12:38:49 - Sorted an array by QuickSorter
[Info] - DateTime: 15.07.2017 12:38:49 - Sorted an array by BubbleSorter
[Info] - DateTime: 15.07.2017 12:38:49 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 13:27:33 - Sorted an array by SelectionSorter
[Info] - DateTime: 16.07.2017 13:27:34 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 13:27:34 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 13:27:34 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 14:12:05 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 14:12:05 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:12:05 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 14:12:05 - Sorted an array by SelectionSorter
[Info] - DateTime: 16.07.2017 14:12:29 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:12:29 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 14:12:29 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 14:12:29 - Sorted an array by SelectionSorter
[Info] - DateTime: 16.07.2017 14:16:30 - Sorted an array by SelectionSorter
[Info] - DateTime: 16.07.2017 14:16:31 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:16:31 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 14:16:31 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 14:19:21 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:19:21 - Sorted an array by SelectionSorter
[Info] - DateTime: 16.07.2017 14:19:21 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 14:19:21 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 14:19:28 - Sorted an array by SelectionSorter
[Info] - DateTime: 16.07.2017 14:19:28 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 14:19:28 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 14:19:28 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:28:34 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:28:34 - Sorted an array by ShellSorter
[Info] - DateTime: 16.07.2017 14:28:34 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 14:28:34 - Sorted an array by SelectionSorter
[Error] - DateTime: 16.07.2017 14:28:43 - File BubbleSortProject.dll not exist!
[Info] - DateTime: 16.07.2017 14:29:17 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:45:02 - Sorted an array by BubbleSorter
[Info] - DateTime: 16.07.2017 14:45:02 - Sorted an array by SelectionSorter
[Info] - DateTime: 16.07.2017 14:45:02 - Sorted an array by QuickSorter
[Info] - DateTime: 16.07.2017 14:45:02 - Sorted an array by ShellSorter
[Error] - DateTime: 18.07.2017 17:17:36 - File 7 not exist!
[Error] - DateTime: 18.07.2017 17:37:43 - File E:\\123.txt not exist!
[Error] - DateTime: 18.07.2017 17:37:51 - File E:\123.txt not exist!
[Info] - DateTime: 18.07.2017 17:44:53 - Sorted an array by QuickSorter
